day,month,text,path
1,1,NA,NA
2,1,"OTD in 1492 Spain was finally liberated","01-02.jpeg"
3,1,NA,NA
4,1,NA,NA
5,1,NA,NA
6,1,NA,NA
7,1,NA,NA
8,1,NA,NA
9,1,NA,NA
10,1,NA,NA
11,1,NA,NA
12,1,NA,NA
13,1,NA,NA
14,1,NA,NA
15,1,NA,NA
16,1,NA,NA
17,1,NA,NA
18,1,NA,NA
19,1,NA,NA
20,1,NA,NA
21,1,NA,NA
22,1,NA,NA
23,1,NA,NA
24,1,NA,NA
25,1,NA,NA
26,1,NA,NA
27,1,NA,NA
28,1,NA,NA
29,1,NA,NA
30,1,NA,NA
31,1,NA,NA
1,2,NA,NA
2,2,NA,NA
3,2,NA,NA
4,2,NA,NA
5,2,NA,NA
6,2,NA,NA
7,2,NA,NA
8,2,NA,NA
9,2,NA,NA
10,2,NA,NA
11,2,NA,NA
12,2,NA,NA
13,2,NA,NA
14,2,NA,NA
15,2,NA,NA
16,2,NA,NA
17,2,NA,NA
18,2,NA,NA
19,2,NA,NA
20,2,NA,NA
21,2,NA,NA
22,2,NA,NA
23,2,NA,NA
24,2,NA,NA
25,2,NA,NA
26,2,NA,NA
27,2,NA,NA
28,2,NA,NA
29,2,NA,NA
1,3,NA,NA
2,3,NA,NA
3,3,NA,NA
4,3,NA,NA
5,3,NA,NA
6,3,NA,NA
7,3,NA,NA
8,3,NA,NA
9,3,NA,NA
10,3,NA,NA
11,3,NA,NA
12,3,NA,NA
13,3,NA,NA
14,3,NA,NA
15,3,NA,NA
16,3,NA,NA
17,3,NA,NA
18,3,NA,NA
19,3,NA,NA
20,3,NA,NA
21,3,NA,NA
22,3,NA,NA
23,3,NA,NA
24,3,NA,NA
25,3,NA,NA
26,3,NA,NA
27,3,NA,NA
28,3,NA,NA
29,3,NA,NA
30,3,NA,NA
31,3,NA,NA
1,4,NA,NA
2,4,NA,NA
3,4,NA,NA
4,4,NA,NA
5,4,NA,NA
6,4,NA,NA
7,4,NA,NA
8,4,NA,NA
9,4,NA,NA
10,4,NA,NA
11,4,NA,NA
12,4,NA,NA
13,4,NA,NA
14,4,NA,NA
15,4,NA,NA
16,4,NA,NA
17,4,NA,NA
18,4,NA,NA
19,4,NA,NA
20,4,NA,NA
21,4,NA,NA
22,4,NA,NA
23,4,NA,NA
24,4,NA,NA
25,4,NA,NA
26,4,NA,NA
27,4,NA,NA
28,4,NA,NA
29,4,NA,NA
30,4,NA,NA
1,5,NA,NA
2,5,NA,NA
3,5,NA,NA
4,5,NA,NA
5,5,NA,NA
6,5,NA,NA
7,5,NA,NA
8,5,NA,NA
9,5,NA,NA
10,5,NA,NA
11,5,NA,NA
12,5,NA,NA
13,5,NA,NA
14,5,NA,NA
15,5,NA,NA
16,5,NA,NA
17,5,NA,NA
18,5,NA,NA
19,5,NA,NA
20,5,NA,NA
21,5,NA,NA
22,5,NA,NA
23,5,NA,NA
24,5,NA,NA
25,5,NA,NA
26,5,NA,NA
27,5,NA,NA
28,5,NA,NA
29,5,NA,NA
30,5,NA,NA
31,5,NA,NA
1,6,NA,NA
2,6,NA,NA
3,6,NA,NA
4,6,NA,NA
5,6,NA,NA
6,6,NA,NA
7,6,NA,NA
8,6,NA,NA
9,6,NA,NA
10,6,NA,NA
11,6,NA,NA
12,6,NA,NA
13,6,NA,NA
14,6,NA,NA
15,6,NA,NA
16,6,NA,NA
17,6,NA,NA
18,6,NA,NA
19,6,NA,NA
20,6,NA,NA
21,6,NA,NA
22,6,NA,NA
23,6,NA,NA
24,6,NA,NA
25,6,NA,NA
26,6,NA,NA
27,6,NA,NA
28,6,NA,NA
29,6,NA,NA
30,6,NA,NA
1,7,NA,NA
2,7,NA,NA
3,7,NA,NA
4,7,NA,NA
5,7,NA,NA
6,7,NA,NA
7,7,NA,NA
8,7,NA,NA
9,7,NA,NA
10,7,NA,NA
11,7,NA,NA
12,7,NA,NA
13,7,NA,NA
14,7,NA,NA
15,7,NA,NA
16,7,NA,NA
17,7,NA,NA
18,7,NA,NA
19,7,NA,NA
20,7,NA,NA
21,7,NA,NA
22,7,NA,NA
23,7,NA,NA
24,7,NA,NA
25,7,NA,NA
26,7,NA,NA
27,7,NA,NA
28,7,NA,NA
29,7,NA,NA
30,7,NA,NA
31,7,NA,NA
1,8,NA,NA
2,8,NA,NA
3,8,NA,NA
4,8,NA,NA
5,8,NA,NA
6,8,NA,NA
7,8,NA,NA
8,8,NA,NA
9,8,NA,NA
10,8,NA,NA
11,8,NA,NA
12,8,NA,NA
13,8,NA,NA
14,8,NA,NA
15,8,NA,NA
16,8,NA,NA
17,8,NA,NA
18,8,NA,NA
19,8,NA,NA
20,8,NA,NA
21,8,NA,NA
22,8,NA,NA
23,8,NA,NA
24,8,NA,NA
25,8,NA,NA
26,8,NA,NA
27,8,NA,NA
28,8,NA,NA
29,8,NA,NA
30,8,NA,NA
31,8,NA,NA
1,9,NA,NA
2,9,NA,NA
3,9,NA,NA
4,9,NA,NA
5,9,NA,NA
6,9,NA,NA
7,9,NA,NA
8,9,NA,NA
9,9,NA,NA
10,9,NA,NA
11,9,NA,NA
12,9,"OTD in 1683 the polish winged hussars saved Vienna","09-12.jpeg"
13,9,NA,NA
14,9,NA,NA
15,9,NA,NA
16,9,NA,NA
17,9,NA,NA
18,9,NA,NA
19,9,NA,NA
20,9,NA,NA
21,9,NA,NA
22,9,NA,NA
23,9,NA,NA
24,9,NA,NA
25,9,NA,NA
26,9,NA,NA
27,9,NA,NA
28,9,NA,NA
29,9,NA,NA
30,9,NA,NA
1,10,NA,NA
2,10,NA,NA
3,10,NA,NA
4,10,NA,NA
5,10,NA,NA
6,10,NA,NA
7,10,"OTD in 2023: Largest massacre of jewish people since the Holocaust",NA
8,10,NA,NA
9,10,NA,NA
10,10,NA,NA
11,10,NA,NA
12,10,NA,NA
13,10,NA,NA
14,10,NA,NA
15,10,NA,NA
16,10,NA,NA
17,10,NA,NA
18,10,NA,NA
19,10,NA,NA
20,10,NA,NA
21,10,NA,NA
22,10,NA,NA
23,10,NA,NA
24,10,NA,NA
25,10,NA,NA
26,10,NA,NA
27,10,NA,NA
28,10,NA,NA
29,10,NA,NA
30,10,NA,NA
31,10,NA,NA
1,11,NA,NA
2,11,NA,NA
3,11,NA,NA
4,11,NA,NA
5,11,NA,NA
6,11,NA,NA
7,11,"OTD in 1520 Christian II initiated the Stockholm Blodbath","11-07.jpeg"
8,11,NA,NA
9,11,NA,NA
10,11,NA,NA
11,11,NA,NA
12,11,NA,NA
13,11,NA,NA
14,11,NA,NA
15,11,NA,NA
16,11,NA,NA
17,11,NA,NA
18,11,NA,NA
19,11,NA,NA
20,11,NA,NA
21,11,NA,NA
22,11,NA,NA
23,11,NA,NA
24,11,NA,NA
25,11,NA,NA
26,11,NA,NA
27,11,NA,NA
28,11,NA,NA
29,11,NA,NA
30,11,NA,NA
1,12,NA,NA
2,12,NA,NA
3,12,NA,NA
4,12,NA,NA
5,12,NA,NA
6,12,NA,NA
7,12,NA,NA
8,12,NA,NA
9,12,NA,NA
10,12,NA,NA
11,12,NA,NA
12,12,NA,NA
13,12,NA,NA
14,12,NA,NA
15,12,NA,NA
16,12,NA,NA
17,12,NA,NA
18,12,NA,NA
19,12,NA,NA
20,12,NA,NA
21,12,NA,NA
22,12,NA,NA
23,12,NA,NA
24,12,NA,NA
25,12,NA,NA
26,12,NA,NA
27,12,NA,NA
28,12,NA,NA
29,12,NA,NA
30,12,NA,NA
31,12,NA,NA
