Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
01-01-1978,1 - 2,Norge,NA,International turnering,Herrer,U19-landshold,0,1978-01-01
01-01-1979,2 - 0,Schweiz,NA,International turnering,Herrer,U19-landshold,0,1979-01-01
01-01-1987,2 - 2,Israel,NA,International turnering,Herrer,U17-landshold,0,1987-01-01
01-01-1988,0 - 0,Irland,NA,International turnering,Herrer,U19-landshold,300,1988-01-01
01-02-1983,3 - 1,FC Luzern,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1983-02-01
01-02-1987,1 - 1,Indien,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1987-02-01
01-02-2003,0 - 1,Iran,Hong Kong Stadium,Uofficiel landskamp,Herrer,Ligalandshold,22000,2003-02-01
01-02-2006,3 - 1,Sydkorea,Hong Kong Stadium,Uofficiel landskamp,Herrer,Ligalandshold,12000,2006-02-01
01-02-2012,0 - 2,Rusland,NA,Copa del Atlántico,Herrer,U18-landshold,130,2012-02-01
01-02-2020,2 - 2,Letland,Zemgales Olympic Centre Hall,EM-kvalifikationskamp,Herrer,Futsallandsholdet,0,2020-02-01
01-03-1981,2 - 0,Portugal,NA,International turnering,Herrer,U19-landshold,0,1981-03-01
01-03-2002,0 - 3,Tyskland,Portimao,Algarve Cup,Kvinder,A-Landshold,0,2002-03-01
01-03-2006,1 - 2,Kroatien,Stadion Kantrida,Testkamp,Herrer,U21-landshold,1109,2006-03-01
01-03-2006,2 - 0,Israel,Ramat Gan Stadion,Testkamp,Herrer,A-Landshold,15762,2006-03-01
01-03-2010,0 - 4,England,NA,International turnering,Kvinder,U19-landshold,25,2010-03-01
01-03-2010,2 - 1,Finland,NA,Algarve Cup,Kvinder,A-Landshold,37,2010-03-01
01-03-2011,0 - 0,Nordmakedonien,Biljanini Izvori,Testkamp,Herrer,U18-landshold,115,2011-03-01
01-03-2012,0 - 2,Ukraine,NA,Testkamp,Herrer,U19-landshold,64,2012-03-01
01-03-2012,1 - 0,Schweiz,Stadion Esp,Testkamp,Herrer,U18-landshold,113,2012-03-01
01-03-2017,0 - 1,Canada,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,477,2017-03-01
01-03-2019,1 - 1,Italien,La Manga Club Football Centre G,Testkamp,Kvinder,U19-landshold,0,2019-03-01
01-03-2022,4 - 0,Cypern,Tassos Markou Municipal Stadium,UEFA turnering,Herrer,U16-landshold,98,2022-03-01
01-03-2024,1 - 3,Ecuador,Emirhan Sport Complex,Testkamp,Kvinder,U16-landshold,140,2024-03-01
