ID,Recommendation,Vurdering,Kommentar
Q1,Anbefaling for Q1,,
Q2,Anbefaling for Q2,,
Q3,Anbefaling for Q3,,
Q4,Anbefaling for Q4,,
Q5,Anbefaling for Q5,,
Q6,Anbefaling for Q6,,
Q7,Anbefaling for Q7,,
Q8,Anbefaling for Q8,,
Q9,Anbefaling for Q9,,
Q10,Anbefaling for Q10,,
Q11,Anbefaling for Q11,,
Q12,Anbefaling for Q12,,
Q13,Anbefaling for Q13,,
Q14,Anbefaling for Q14,,
Q15,Anbefaling for Q15,,
Q16,Anbefaling for Q16,,
Q17,Anbefaling for Q17,,
Q18,Anbefaling for Q18,,
Q19,Anbefaling for Q19,,
Q20,Anbefaling for Q20,,
Q21,Anbefaling for Q21,,
Q22,Anbefaling for Q22,,
Q23,Anbefaling for Q23,,
Q24,Anbefaling for Q24,,
Q25,Anbefaling for Q25,,
Q26,Anbefaling for Q26,,
Q27,Anbefaling for Q27,,
Q28,Anbefaling for Q28,,
Q29,Anbefaling for Q29,,
Q30,Anbefaling for Q30,,
Q31,Anbefaling for Q31,,
Q32,Anbefaling for Q32,,
Q33,Anbefaling for Q33,,
Q34,Anbefaling for Q34,,
Q35,Anbefaling for Q35,,
Q36,Anbefaling for Q36,,
Q37,Anbefaling for Q37,,
Q38,Anbefaling for Q38,,
Q39,Anbefaling for Q39,,
Q40,Anbefaling for Q40,,
Q41,Anbefaling for Q41,,
Q42,Anbefaling for Q42,,
