id,question,svar,next_id,anbefaling
Q1,Only one vairable of interest?,yes,Q2,
Q1,Only one vairable of interest?,no,Q20,
Q2,One-sample problem?,yes,Q3,
Q2,One-sample problem?,no,Q9,
Q3,Underlying distribution normal or can central-limit theorem be assumed to hold? (Q3),yes,Q4,
Q3,Underlying distribution normal or can central-limit theorem be assumed to hold? (Q3),no,Q6,
Q4,Inference concerning mu,yes,Q5,
Q4,Inference concerning mu,no,,inference concerning sigma: One-sample chi-square test for variances. (caution: this test is very sensitive to nonnormality pp 242-243)
Q5,sigma known,yes,,one-sample z test pp 220-21
Q5,sigma known,no,,"one-sample t test pp 214,217"
Q6,Underlying distribution is normal?,yes,Q8,
Q6,Underlying distribution is normal?,no,Q7,
Q7,Underlying distribution is poisson?,Yes,,"One-sample Poisson-test, pp 251,252,254"
Q7,Underlying distribution is poisson?,no,,"Use another underlying distribution or use non-parametric methos pp 330,336"
Q8,One-sample binomial test: Normal approximation valid?,no,,Exact methods page 247
Q8,One-sample binomial test: Normal approximation valid?,yes,,Normal-theory methods pages 245-246
Q9,two-sample problem (Q9),yes,Q10,
Q9,two-sample problem (Q9),no,Q38,
Q10,Underlying distribution normal or can central-limit theorem be assumed to hold? (Q10),yes,Q11,
Q10,Underlying distribution normal or can central-limit theorem be assumed to hold? (Q10),No,Q12,
Q11,Inferences concerning means?,yes,Q17,
Q11,Inferences concerning means?,no,,inferences concerning variances: Tow-sample F test to compare variances. (Caution: This test is very sensitive to nonnormality) p 284
Q12,Underlying distribution is binomial?,yes,Q13,
Q12,Underlying distribution is binomial?,no,Q15,
Q13,Are samples independent? (Q13),yes,Q14,
Q13,Are samples independent? (Q13),no,,Use mcnemar s test pages 375 377
Q14,Are all expected values større end eller lig  5?,yes,Q36,
Q14,Are all expected values >= 5?,no,,Use Fisher s exact test p 371
Q15,Person-time data?,no,,Use another underlying distribution or use non-parametric methos pp 341
Q15,Person-time data?,yes,Q31,
Q17,Are samples independent? (Q17),no,,Use paired t-test p 272
Q17,Are samples independent? (Q17),yes,Q16,
Q16,Are variances of two samples significantly different? Note test using F-test,No,,Use two-sample t test with equal variances p. 277
Q16,Are variances of two samples significantly different? Note test using F-test,yes,,Use two-sample t test with unequal variances p. 288
Q20,Interested in relationships between two variables,yes,Q19,
Q20,Interested in relationships between two variables,no,Q30,
Q19,Both variables continuous,yes,Q18,
Q19,Both variables continuous,No,Q22,
Q18,Interested in predicting one variable from another?,yes,,simple linear regression p 438
Q18,Interested in predicting one variable from another?,no,Q21,
Q21,interested in studying the correlation between two variables?. Both variables normal?,yes,,"Pearson correlation methods p 452, 456"
Q21,interested in studying the correlation between two variables?. Both variables normal?,no,,Rank correlation methods p 495-496
Q22,One variable continuous and one categorical?,yes,Q23,
Q22,One variable continuous and one categorical?,no,Q99,
Q23,"Analysis of variance, ANOVA. Number of ways in which the categorical variable can be classified",1,Q24,
Q23,"Analysis of variance, ANOVA. Number of ways in which the categorical variable can be classified",2,Q27,
Q23,"Analysis of variance, ANOVA. Number of ways in which the categorical variable can be classified",3,Q28,
Q24,Outcome variable normal or can central-limit theorem be assumed to hold?,yes,Q25,
Q24,Outcome variable normal or can central-limit theorem be assumed to hold?,no,,Nonparametric ANOVA - Kruskal-wallis test. P 556-557
Q25,Other covariates to be controlled for? (Q25),yes,,One-way ANCOVA p 545-548
Q25,Other covariates to be controlled for? (Q25),no,,one-way anova p 516-538
